variant,model,train_total,train_positives,train_negatives,f1,precision,recall,tokens_used
faiss_small,rf,100,34,66,0.98,0.98,0.98,0
faiss_small,hist_gb,100,34,66,0.9748743718592964,0.9797979797979798,0.97,0
faiss_small,xgb,100,34,66,0.9748743718592964,0.9797979797979798,0.97,0
faiss_small,gb,100,34,66,0.97,0.97,0.97,0
faiss_small,logreg,100,34,66,0.9381443298969071,0.9680851063829787,0.91,0
faiss_large,rf,598,200,398,0.9949748743718593,1.0,0.99,0
faiss_large,logreg,598,200,398,0.99,0.99,0.99,0
faiss_large,gb,598,200,398,0.99,0.99,0.99,0
faiss_large,hist_gb,598,200,398,0.99,0.99,0.99,0
faiss_large,xgb,598,200,398,0.9850746268656716,0.9801980198019802,0.99,0
active,rf,1792,204,1588,0.9950248756218906,0.9900990099009901,1.0,0
active,xgb,1792,204,1588,0.9850746268656716,0.9801980198019802,0.99,0
active,logreg,1792,204,1588,0.9849246231155778,0.98989898989899,0.98,0
active,hist_gb,1792,204,1588,0.9847715736040609,1.0,0.97,0
active,gb,1792,204,1588,0.9743589743589743,1.0,0.95,0
faiss_small_plus_random,hist_gb,118,34,84,0.98,0.98,0.98,0
faiss_small_plus_random,xgb,118,34,84,0.9797979797979798,0.9897959183673469,0.97,0
faiss_small_plus_random,rf,118,34,84,0.9753694581280788,0.9611650485436893,0.99,0
faiss_small_plus_random,gb,118,34,84,0.9751243781094527,0.9702970297029703,0.98,0
faiss_small_plus_random,logreg,118,34,84,0.9381443298969071,0.9680851063829787,0.91,0
faiss_large_plus_random,logreg,711,200,511,0.9949748743718593,1.0,0.99,0
faiss_large_plus_random,rf,711,200,511,0.9949748743718593,1.0,0.99,0
faiss_large_plus_random,gb,711,200,511,0.99,0.99,0.99,0
faiss_large_plus_random,hist_gb,711,200,511,0.99,0.99,0.99,0
faiss_large_plus_random,xgb,711,200,511,0.99,0.99,0.99,0
active_plus_random,rf,2024,190,1834,0.9950248756218906,0.9900990099009901,1.0,0
active_plus_random,xgb,2024,190,1834,0.98989898989899,1.0,0.98,0
active_plus_random,logreg,2024,190,1834,0.9849246231155778,0.98989898989899,0.98,0
active_plus_random,gb,2024,190,1834,0.9801980198019802,0.9705882352941176,0.99,0
active_plus_random,hist_gb,2024,190,1834,0.9528795811518325,1.0,0.91,0
