id,name,artist,release-date,release-country,duration,label,genre,tracks
lastFM_1,John B -  Fermats Theorem / Sight Beyond,John B,,,903,,,"['Fermats Theorem', 'Sight Beyond']"
lastFM_2,Tempest / Inner Sense,Psychosis,,,734,,,"['Tempest', 'Inner Sense']"
lastFM_4,Petalpusher -  Surrender,Petalpusher,,,1626,,,"['Surrender (Petalpusher Original)', ""Surrender (Mig's Naked Seduction Dub)"", 'Surrender (Attaboy Remix)', ""Surrender (Mig's Naked Seduction vocal)""]"
lastFM_8,in the spirit,R. Trent,,,1265,,,"['In The Spirit (The Full Experience)', 'In The Spirit (Kada)', 'In The Spirit (Guitar Alchemy)']"
lastFM_11,Come Of Age,S. Vitus Dance,,,1378,,,"['Bliss', 'Tunnel Vision', 'Catch The Sun', 'Mystic Vibrations']"
lastFM_16,Devotional,D. Alvarado,,,944,,,"['Devotional', 'Sunstone']"
lastFM_24,P. Johnson -  The Music In Me,P. Johnson,,,1168,,,"['The Music In Me', 'Slinky', ""Y'All Stole Them Dances"", 'Life In The Jungle', 'Soft Spot']"
lastFM_27,On and,GH-106,,,120,,,"['XJ6', 'Fantasy']"
lastFM_28,- new - Subtle Frequencies,C. Jackson,,,613,,,"['Check our Beats', 'Teleport']"
lastFM_30,Second Area / Think Tank,Inigo Kennedy,,,827,,,"['Second Area', 'Think Tank']"
lastFM_34,SubCode -  Purple Eggs,SubCode,,,804,,,"['blunt figure', 'blue sneakers']"
lastFM_37,The Travellers' Dream,Aedena C.,,,1716,,,"[""The Travellers' Dream"", 'The Dreamshadow', 'Ciguri', 'Pharagonesia']"
lastFM_40,Ascensionism,Richard Bone,,,1883,,,"['Waters of Assiyah', 'Sister Samadhi', 'Kavvannah', ""Walkin' With the Dharma Bums"", 'Ascensionism', 'Jhana', ""Sultry Sally's Meditation Alley""]"
lastFM_42,"United DJs of America,  4",D. Morales,,,,,,[]
lastFM_52,Album: Tribal Liberation,Dj Duke,,,562,,,['Tribal Journey (The Sun Mix)']
lastFM_53,*popular* Soundtracks for Broken Video Games,S. W.A.V.E.,,,843,,,"['telecommunication', 'Networking 3401', 'Thought Process', 'Contact', 'Robot']"
lastFM_54,[explicit] Simple Things,Bougie Soliterre,,,3190,,,"['Common Thread (Main Horn Mix)', 'Superficial', 'Got the Bug', 'Something (Main Vocal Mix)', 'Besides You (Main Vocal Mix)', 'Magical Moments (Audio Rogue Mix)', ""Bougez (Bougie's Main Horn Mix)"", 'Miles Away (People People Main Mix)']"
lastFM_55,In The Painful Quest Of Beauty,The Keyprocessor,,,1188,,,"['In The Painful Quest Of Beauty', 'Dirt', 'Cabs']"
lastFM_59,Millennium / Future's Live,Big Bud,,,909,,,"['Millennium', ""Future's Live""]"
lastFM_62,We are the Future 3,Future 3,,,4092,,,"['Future 3', 'Silver M', 'Renaldo', 'B o y d', 'Fumble', 'Dawn', 'Bubbles at dawn', 'D.A.W.N. at 6', '46843516846516']"
lastFM_65,Beyond the Ozone EP,Aubrey,,,175,,,"['Ginger Biscuit', 'Beyond the Ozone', 'The Skipper']"
lastFM_67,Mikael D. -  Halcyon Days,Mikael D.,,,4223,,,"['Postcards from You', 'In My Heart', 'Melt', 'Diving', 'Halcyon Days', 'The Dawn', 'Body Feedback', 'The Way You Touch My Soul', 'My Brother Says', 'Time Will Show', ""Love Don't Matter"", 'Milk & Honey', 'Deep Indigo', 'Holy Water']"
lastFM_68,Nightmare Mixes,A. Gruber,,,380,,,"['Inflatable Hands', 'Stimulus', 'Dutch Funk']"
lastFM_72,The Future Is  Fire,C. Morgenstern,,,,,,[]
lastFM_73,*popular* Prevention Beyond Cause,J. Ruskin,,,1260,,,"['[untitled]', '[untitled]', '[untitled]', '[untitled]']"
lastFM_79,Voodooamt -  Voodoopussy,Voodooamt,,,789,,,"['Voodoopussy', 'Voodootoon']"
lastFM_80,Voodoo,Monika Kruse @. Voodooamt,,,1072,,,"['Voodoo', 'Screwdriver', 'itchy']"
lastFM_81,The Contino Sessions,Death in Vegas,,,2815,,,"['Dirge', 'Soul Auctioneer', 'Death Threat', 'Aisha', 'Broken Little Sister', 'Neptune City (Andrew Weatherall Mix)', ""Luther's Funk"", 'Blood Yawning', 'Dirge - Album Version', 'Neptune City - Andrew Weatherall Mix']"
lastFM_82,The Call Of  Confuciusornis Remixes,Sculpturism,,,518,,,"[""The Vulcan's Hammer (Stoned In Uden Mix)""]"
lastFM_84,Still,Amongst Myselves,,,3674,,,"[""Ra's Playground"", 'Shepherds of the Rings', 'The Ground Melts', 'Ship of Dreams', 'Safe in Narwang Baru', 'Encounter at the Bay', ""Lowell's Legacy"", 'Darkness', 'Relics of an Early Universe']"
lastFM_87,Electronic Fragments EP,Skanfrom,,,586,,,"['in', 'Fragment', 'Remote', 'Cashier', 'Telepho:n', 'out']"
lastFM_88,Trouble / Daylight,Q Project,,,381,,,"['Trouble', 'Daylight']"
lastFM_90,Quiet Is the New Loud,T. Remote Viewer,,,0,,,"['How Did We Get It So Wrong?', 'A Lot of Ifs (Inzamam)', 'Press It On', 'Quiet Is the New Loud', 'Does It Take Turn', 'Slowly, in Waves']"
lastFM_91,To Let Go,M. Romanenko,,,1835,,,"['La Belle Femme Mix 2', 'Diary', 'composition five', 'composition one', 'Gurulat', 'Lust / Wrong']"
lastFM_93,Surrender Now,Progression,,,208,,,"['Surrender Now', 'Tribal Dub', 'Drums Of Life']"
lastFM_94,Spaces,E. Ruoho,,,2176,,,"['Departure', 'Pond Assemblage', 'Birthday Scrutiny', 'Space', 'Compensator']"
lastFM_98,To the Music,Mojolators,,,505,,,"['To the Music', 'Drifting']"
lastFM_101,Momentum / Immersion,Deep Blue,,,893,,,"['Momentum', 'Immersion']"
lastFM_102,Joyride,Benjamin D.,,,624,,,"['Joyride', 'Joyride (Dub)']"
lastFM_103,Hidden Agenda,DJ Q,,,,,,[]
lastFM_104,*popular* On the Dancefloor EP,W. Griffin,,,90,,,"['On the Dancefloor', 'Classic Fingers', 'Mystical Journey']"
lastFM_106,[explicit] The Low Empire,Mainline Crux,,,420,,,"['Modern Days', 'Shutter the Fog', 'Horizon', 'The Maze', 'Lowdown', 'La Only', 'Ask the Judge', 'Bad Blood', 'Automatic Operator', 'Sparkle On', 'Burning Room', 'The Fade', ""Liar's Rain"", 'Exit Ramp']"
lastFM_108,Classics,Ten City,,,934,,,"[""That's the Way Love Is"", 'Deep Kiss', 'Devotion']"
lastFM_109,Replicant,Pacou,,,732,,,"['ATP', 'Robot M', 'Controlling atoms']"
lastFM_111,Shelter,B. Foundation,,,1600,,,"['Give Me Shelter (Velvet Mix)', 'Give Me Shelter (Rawhide Mix)', 'Rain Or Shine', 'Wedded Blysse', 'Seven Steps']"
lastFM_113,*popular* Health Warning,Trance[]control,,,649,,,"['Psychotic Chaos', 'Welcome to the House']"
lastFM_114,- new - Electronic Illusions,Chris Tomasone,,,386,,,"['Its Getting Closer', 'Anythings Possible']"
lastFM_117,Nightmare Walking,Future Prophecies,,,,,,[]
