id,name,artist,release-date,release-country,duration,label,genre,tracks
lastFM_119,Broken Promise / Pulse Code,Simon V.,,,860,,,"['Broken Promise', 'Pulse Code']"
lastFM_120,Haze / Contrast,PHD,,,565,,,['haze']
lastFM_122,Classics 1,T. City,,,1124,,,"['Only Time Will Tell', 'All Loved Out', 'Suspicious']"
lastFM_124,Fairlight / Desert Traveller,Artemis,,,894,,,"['Fairlight', 'desert traveller']"
lastFM_128,Dan Curtin -  Life In The Savage Garden E.P.,Dan Curtin,,,1247,,,"['Maintain', 'Fade', 'At you', 'Running']"
lastFM_129,The Butterfly,Chris Nazuka,,,2072,,,"['Pick Your Poison', 'Pick Your Poison (Internal Mix)', 'Shadowboxing', 'Blue', '4 A.M']"
lastFM_131,Butterfly,F. Flash,,,1476,,,"['Butterfly Catcher', 'Journey Into Scoose', 'Lunatic Jam', 'Butterfly Catcher (In The Ozone)']"
lastFM_134,S. Experience -  soul experience,S. Experience,,,30,,,"[""I Can't Stand Up""]"
lastFM_135,Album: On the North Star with Gemini,Gemini,,,1651,,,"['Snow Drop', 'Day Dreaming', 'A Blue Night', 'X']"
lastFM_137,Purple EP,DJ Assault,,,790,,,"['Dia Daa Daa (Remix)', 'Sex On The Beach', 'Funky Bitch', 'funky bitch (instrumental)']"
lastFM_140,S. Stoll -  Mono In Chrome,S. Stoll,,,904,,,"['[untitled]', '[untitled]', '[untitled]', '[untitled]']"
lastFM_142,Feel The Drums,Native,,,865,,,"['Feel The Drums (Original Mix)', 'Feel the Drums (Tough mix)', 'Feel the drums (public domain mix)']"
lastFM_144,Fallen Funk Files,Samuel L Session,,,,,,[]
lastFM_146,Fruits Of The Spirit,B. Williams,,,1674,,,"['Fruits Of The Spirit', 'Hiding Secrets', 'Crying Black Man', 'Changes']"
lastFM_148,Musicology,Niko Marks,,,412,,,"['Feel My Groove', 'Musicology', 'Musicology (Jazz mix)', 'My Music']"
lastFM_152,Tidal Frequencies,Norken,,,713,,,"['Just A Phase', 'Instamatic', 'Motor Breeze']"
lastFM_154,Inside Straight / Troublefunk,EinzelgÃƒÂ¤nger,,,389,,,['Inside Straight']
lastFM_155,Dubtribe Sound System -  Mother Earth,Dubtribe Sound System,,,1444,,,"['Mother Earth', 'mother earth (remix)', ""Mother Earth (Sunshine's remix) (feat. DJ Collage)"", 'Memory (Edit)']"
lastFM_156,Sensitive Electronic,Electrostatic,,,1896,,,"['Someday', 'Magnetic Pulse (instrumental)', 'Reflection', 'Swallowtail', 'Stain', 'Inside You', 'Feel']"
lastFM_164,Un Dia Soleado / Only Dubbin' On My 808,Jeremiah,,,353,,,"['Un Dia Soleado', ""Only Dubbin' On My 808""]"
lastFM_167,when i'm with you,G. Levin,,,1588,,,"[""When I'm With You (original version)"", ""When I'm With You (Jimpster's dub mix)"", ""When I'm With You (Jimpster's Vocal Mix)"", 'keep on making me high']"
lastFM_168,Headroom -  Too Dark Park EP,Headroom,,,840,,,"['Tuker', 'Cope', 'top']"
lastFM_170,Resurrection EP,Mark Verbos,,,120,,,"['[untitled]', '[untitled]', '[untitled]', '[untitled]']"
lastFM_171,Spiritual Aura (Remixes),D. Rap,,,,,,[]
lastFM_172,Jupiter,S. Deason,,,1576,,,"['Jupiter Sunrise', 'Inside Out', 'Razorback', 'Vibe']"
lastFM_176,Alex Gordon -  Small Craft Warnings Remixes,Alex Gordon,,,120,,,"['Small Craft Warnings (John Tejada remix)', 'Small Craft Warnings (Alex Gordon/Low Fi remix)', 'Small Craft Warnings (Justin Warfield remix)', 'Small Craft Warnings (Alex Gordon Land mix)']"
lastFM_177,Colors,Future Prophecies,,,888,,,"['Colors', 'Colors (Dub)']"
lastFM_179,Danger Room /  Souls,L. Fitzpatrick,,,776,,,"['Danger Room', 'Lost Souls']"
lastFM_186,Hyper Experience / Strobe  Network,Cold,,,1691,,,"['Hyper Experience', 'Hyper Experience (Hyper dub mix)', 'Strobe Light Network']"
lastFM_189,Chrome Feather,Reptilica,,,2129,,,"['Eyeball Room', 'Animal Model', 'Caminante', 'Queen of Luxury', 'Japanese Vein Device', 'The Rope Leads Down', 'Autobot', 'Drive to MN', 'Flight 0.8', 'Deep Sea Friends', 'Defuse The Dragon', 'Beyond The Herd']"
lastFM_191,[explicit] Struggle Gentlemen,S-Club,,,835,,,"['Gentlemen Need Struggle', 'Gentlemen Need Deeper']"
lastFM_193,Bubblebath,Aphex Twin,,,498,,,"['isopropophlex', 'Entrance To Exit', 'AfX 2 - AFX']"
lastFM_198,Damnation,Wicked,,,1148,,,"['disco damnation (remix)', 'Disco Damnation (original)', 'Work It']"
lastFM_200,Saturday Night Experience,J. Watley,,,1204,,,"['Saturday Night Experience (Shelter Vocal)', 'Saturday Night Experience (Original)', 'Saturday Night Experience (Ron Trent Vocal)', 'Saturday Night Experience (Shelter Dub)']"
lastFM_201,Twin Peaks theme,Minimalistix,,,1623,,,"['Firewalkers (Filterheadz remix)', 'Twin Peaks Theme (DJ Garry vs FTW remix)', 'twin peaks theme (brian koner club mix)', 'Twin Peaks Theme (DJ Gert Tribal Trance MIx)']"
lastFM_202,the Future EP,Speedy J,,,1268,,,"['Evolution', 'Destroit', 'Analogical', 'Pull Over']"
lastFM_206,Sunrise,Dave,,,1043,,,"['Sunrise', 'Pole Position', 'tower power']"
lastFM_208,Album: The Future,J. Lissat,,,1191,,,"['The Future', 'Bulga', 'New Float']"
lastFM_214,The Darkness,Hemisphere,,,,,,[]
lastFM_215,Ice. Stratosphere,Monolake,,,,,,[]
lastFM_221,Purple Twilight / Musical Rush,N. Sentience,,,,,,[]
lastFM_225,Drukqs 2  Promo,Aphex T.,,,306,,,['Cock 10 (Delco Freedom mix)']
lastFM_236,No Texture / Not for Outsiders,Paradox,,,976,,,"['No Texture', 'Not For Outsiders']"
lastFM_244,Outsider,Dominion,,,1351,,,"['Outsider', 'Outsider (Subtania Mix)']"
lastFM_248,BT -  Mercury and Solace,BT,,,890,,,"['Mercury and Solace (12"" Master Mix)', 'Mercury And Solace (Transa Remix)']"
lastFM_256,Belong,LoSoul,,,3476,,,"['Late Play', 'Resisting Curare', 'Sunbeams and the Rain', 'Position', 'You Can Do', 'Overland', 'Lies', 'Remember You History', 'Depth Control']"
lastFM_258,The Spirit,Gene Farris,,,,,,[]
lastFM_263,Clumsy Lobster,Ernest Saint Laurent,,,,,,[]
lastFM_273,Travellers Of The Mind /,Enzyme X.,,,550,,,"['Travellers of the Mind', 'Syskwahor']"
lastFM_277,Benge -  Beautiful Electronic Music,Benge,,,0,,,"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven', 'Eight']"
lastFM_278,polyrhythmic electronica,Benge,,,1620,,,"['[untitled]', '[untitled]', '[untitled]', '[untitled]', '[untitled]']"
lastFM_280,Blackout,L. Louis,,,,,,[]
lastFM_282,Armed and Dangerous,M. Richardson,,,1197,,,"['Armed', 'Dangerous']"
lastFM_286,Club Classics Vol. One - 10th Anniversary Edition,Soul II Soul,,,,,,[]
lastFM_290,Ya Mama / Song for Shelter,Fatboy S.,,,1003,,,"['Song for Shelter (Chemical Brothers Remix)', ""Song for Shelter (The 20:20 Vision Rollin' Mix)""]"
lastFM_306,*popular* Grand Tourism,Grand Tourism,,,3073,,,"['Jim Clark Theorem', ""Les Courants D'Air"", 'Snakeplayer', 'Bassmajazz', 'Hybrid Story', 'Variations Sur Emma Peel', 'Act Of Love', 'Le Surboomer', 'Romantic Hold Up', 'La Baie du Fakir', 'Vega Music', 'La Guitare EnchantÃƒÂ©e']"
lastFM_309,Chill Out Sector,Ynos,,,,,,[]
lastFM_327,Echoes Beyond Tomorrow,Transparent S.,,,1154,,,"['Never Fall Again (original)', 'Never Fall Again (scape one remix)', 'Never Fall Again (subfunk remix)']"
lastFM_328,/ Shelter,J. KÃƒÂ¶hncke,,,881,,,"['Jet', 'Shelter', 'Jet (M. Mayer Mix)']"
lastFM_329,[explicit] Phat Lab. Nightmare,W. Christ,,,4776,,,"['Mahadelic', 'Glass World', 'Phat Lab. Nightmare', 'Aerhaart; From Within', 'Aerhaart; Ahead', 'Aerhaart; Barrier', 'Panorak', 'Dances With Francis']"
lastFM_343,Primitive Dance,Levantine,,,,,,[]
lastFM_355,There Are No Right Angles Found In Nature,Eighty M. Beach,,,1558,,,"['There Are No Right Angles Found In Nature', 'There Are No Right Angles Found In Nature (Soulstice Remix)', 'There Are No Right Angles Found In Nature (Thievery Corporation Remix)', 'What We Did Last Summer']"
lastFM_356,We Belong in This  Together,Stereo M.,,,,,,[]
lastFM_364,Get Into The Music,DJ's Rule,,,1593,,,"['Get Into The Music (97 Anthem Radio Edit)', 'Get Into The Music (Rhythm Masters Radio Edit)', 'Get Into The Music (Rhythm Masters Club Mix)', 'Get Into The Music (Rhythm Masters Dub Mix)', 'Get Into The Music (Skindeep Remix)']"
lastFM_366,Present Tense,DJ Zinc,,,515,,,"['Casino Royale (remix)', 'Ska', 'Attitude Sickness', 'Invisible Ink']"
lastFM_367,On The Painted Desert - Rampant Colors,B. Boom Satellites,,,2431,,,"['Def', 'Oneness', 'Vocal Mix Featuring Dice', 'Dj Krush Remix', 'Tanzmuzik Remix', 'Push Eject / Howie B.Remix', 'Sandwicked Version']"
lastFM_368,Tempesta,Statik Sound System,,,3675,,,"['Free to Choose, Hard to Be', 'Living in Essential Times', 'Jack', 'Essential Times', 'Sonar', 'Amazed By You', 'Dr Wheeler', 'Valentine', 'Dreams of Mine', 'Hear My Plea', 'Seven Shades', '[untitled]']"
lastFM_369,Liberation,Matt Darey,,,,,,[]
lastFM_372,Confessions EP,E-Smoove,,,,,,[]
lastFM_382,DoppelgÃƒÂ¤nger,Niels v. Gogh,,,,,,[]
lastFM_385,Bang Bang You're Mine,Bang The Party,,,,,,[]
lastFM_386,Dangerous,D. Taylor,,,409,,,"['Dangerous', 'Traffic']"
lastFM_398,- new - Come On Die Young,Glasgow Gangster F.,,,,,,[]
lastFM_400,Squarepusher -  Hard Normal Daddy,Squarepusher,,,3824,,,"['Coopers World', 'Beep Street', 'Rustic Raver', 'Anirog D9', 'Chin Hippy', 'Papalon', 'E8 Boogie', 'Fat Controller', 'Vic Acid', 'Male Pill Part 13', ""Rat/P's and Q's"", 'Rebus']"
lastFM_402,Bricolage,Amon Tobin,,,2729,,,"['Stoney Street', 'Easy Muffin', 'Creatures', 'Chomp Samba', 'New York Editor', 'The Nasty', 'Wires & Snakes', 'Dream Sequence', 'One Small Step']"
lastFM_404,The Music In My Mind,The Monolith,,,1069,,,"['Carpenta', 'I-Yaz', 'Nextphaze (Splinterfaction mix)']"
lastFM_405,- new - Echoes Pt. 1,Mhonolink,,,,,,[]
lastFM_407,Spiritualized,Bravemusic,,,594,,,"[""Spiritualized (Mark Wheawill's 'Eat Your Heart Out Baby Dub')""]"
lastFM_410,Monster Remixes,Multipara,,,1787,,,"['Pocket Monster Buy!Buy!Buy (remix)', 'Deep Pocket, Cute Monster', 'Monster Out Of The Pocket Amx', 'pocket monster', '4-Framecomicstripmix', 'Pocket Monster (Extra Life)', 'pocket monster 2000 (feat. blaxista)', 'Tilt! Tilt! Tilt! M:X']"
lastFM_414,Riot Frequencies,S. Responses,,,2570,,,"['Synthaseizure', 'Structural Damage', 'Pain City', 'Alien Code 0010', 'Cyborg Sex', ""Fury's Theme"", ""Don't Fuck With an S.R."", 'Virtual Earth', 'Phlegaton C2', 'Flesheaters', 'Track 221294']"
lastFM_416,Electronic Noise EP,Relic,,,90,,,"['[untitled]', '[untitled]', '[untitled]']"
lastFM_417,Placebo Effect,Luygi V.,,,819,,,"['Plaect', 'Luup', 'Luup', 'effebo', 'feclac']"
lastFM_420,Sweet  Lemonade,Khan,,,30,,,"['Sweet Pink Lemonade, Part I']"
lastFM_421,The Ambush / Fearless Calypso,Twintone,,,713,,,"['The Ambush', 'Fearless Calypso']"
lastFM_425,T. Wishmaster -  Slave of the Empire EP,T. Wishmaster,,,771,,,"[""Now Please Don't Panic"", 'Slave Of The Empire', 'Take A Little Time']"
lastFM_426,Inside  Outside,Trans-Dimensional Voice,,,3887,,,"['Temptation', 'Frustration', 'Restoration', 'Reincarnation Part I', 'Reincarnation Part II', 'Infinitely Frayed Boundary', 'Audible Vision']"
lastFM_428,Diamond,D. Kaos,,,303,,,['Diamond Eyes']
lastFM_432,Electronic  Return,Pimmon,,,2191,,,"['yemdatem', 'Beach Party', 'Vovul Lj', 'smiggins whole / loss', 'Ditoko', 'Slow Burn Friends/ Dub Aquanauts', 'Arc of Crown and Feather', 'Pulsebuzzkid']"
lastFM_433,Oporto Deep Cuts,OLN,,,1606,,,"['Reboot 144 (Acid Error mix)', 'Reboot 144 (Original Mix)', 'Places Of Pleasure (Sound System)', 'Places Of Pleasure (Original Mix)']"
lastFM_434,Diversification EP,Mooz,,,718,,,"['Pariah', 'some of that', 'the voice inside', 'Relax']"
lastFM_435,*popular* Spiritual Interface,Set Up System,,,1288,,,"['Spiritual Interface', 'Factory (Parallax Mix)', 'Gyrate', 'Factory (Sublimation Mix)']"
lastFM_441,Elevator / Odyssey,The Sorcerer,,,584,,,"['The Elevator (Up & Down mix)', 'Odyssey']"
lastFM_444,Fu*k The Millennium,The Ganja Kru,,,2434,,,"['Science', 'Forbidden fruit', 'Noise', 'Politrix', 'Species (feat. DJ Daddy)', 'Ghetto Brother', 'Pink Panther (Runaways Remix)']"
lastFM_473,Discography (The Complete Singles Collection),P. Shop Boys,,,,,,[]
lastFM_474,James Din A. -  i am the very model of a modern mutant replicant,James Din A.,,,421,,,"['21.12.2013', 'Ricky Kelly King', 'Knust', 'Modern Mutant Replicant', 'Flaming Creature']"
lastFM_476,Elevator 3,C. Duca,,,2335,,,"['Car', 'Faith One', 'Quiet Nights Intro', 'Quiet Nights', 'Mid a4', 'Stim', 'Fl Peak', 'Plasma', 'MacIntosh Suite', 'Digital Basics', 'Geister', 'Laura', 'Rev', 'Slip & Slide', 'Love b3', 'Lalo', 'Scream', 'Dark Perc', 'Tristan', 'Sounds in the Night', 'Evie Peak', 'Fire', 'Earth', 'Lo', 'Mid', 'Hi', 'Rec 4', 'Giant Swing', 'Japan', 'Schweb', 'Bliss', 'Manc', 'Syte', 'Gunshot', 'Schwirr', 'Uranus', 'Click & Roll', 'Misty', 'Metal', 'Dorf', 'Nave', 'Alpine Bells', 'Walzer', 'Serge b1', 'Tubbies', 'Soul', 'Midnight', 'm2']"
lastFM_479,Chrome,Etnica,,,4336,,,"['Nervous (Etnica Remix)', 'Detonator', 'Vco', 'Dervish (Wasted Remix)', 'Liquid Forms', 'Are we Safe?', 'Like a Diamond', 'Solaris', 'Tracktor Activity']"
lastFM_482,Raver's Damnation,Omar Santana,,,1238,,,"[""Raver's Damnation (Omar Santana & Evan Lewis Mix)"", ""Raver's Damnation (Original Mix)"", ""Raver's Damnation (Evilz & DJ Fixx Remix)""]"
lastFM_483,Faithless -  Reverence,Faithless,,,10525,,,"['Reverence', ""Don't Leave"", 'Salva Mea', ""If Lovin' You Is Wrong"", 'Angeline', 'Insomnia', ""Dirty Ol' Man"", 'Flowerstand Man', 'Baseball Cap', 'Drifting Away', 'Insomnia (Monster Mix/Radio Edit)', 'Salva Mea (Way Out West remix)', 'Salva Mea (Way Out West Mix)', ""Don't Leave (Floating Remix)"", ""Insomnia (Armand's European Vacation Mix)"", 'Insomnia (Armands European Vacation mix)', 'Insomnia (Moody Mix)', 'Drifting Away - Paradiso Remix', ""Reverence - Tamsin's Re-Fix"", ""Don't Leave - Floating Remix"", 'Insomnia - Moody Mix', 'Baseball Dub - Cheeky All Stars Remix', 'Angeline - the Innocents Remix', 'Salva Mea - Way Out West Mix', ""Insomnia - Armand's European Vacation Mix"", ""Flowerstand Man - Matty's Remix"", ""Flowerstand Man (Matty's Remix)"", 'Angeline (The Innocents Remix)', ""Reverence (Tamsin's Re-Fix)"", 'Soundcheck Jam', 'Drifting Away (Paradiso Remix)', 'Baseball Dub (Cheeky All Stars Remix)']"
lastFM_487,The Drift,Tipple,,,,,,[]
lastFM_500,Support / Cerulean Seas,Future Engineers,,,591,,,"['Life Support', 'Cerulean Seas']"
lastFM_503,Hidden,4D,,,,,,[]
lastFM_516,The Savage And Beyond,Tronikhouse,,,708,,,"['The Savage And Beyond (Savage Reese Mix)', 'The Savage And Beyond (African Beast Mix)', 'multifunction (multi-mix)']"
lastFM_518,Warning,Locutus,,,120,,,"['Fair Warning', 'Close Proximity', 'Full Moon', 'Weeping Darkness']"
lastFM_521,King Kong Of The Dance Floor,Fu-Tourist,,,614,,,"['King Kong Of The Dance Floor', 'King Kong Of The Dance Floor (Sugar Vision Remix)']"
lastFM_528,Electronic Dance,Omicron,,,,,,[]
lastFM_538,15 electronic pieces,Gunter A.,,,1813,,,"['Brussels', 'hungary', 'madras (less restless)', 'antwerp (may i take one close to yours?)', 'cancun', 'newcastle (johnny vaughn tanzparty)', 'madurai (dark sunglasses)', 'lyon (contre-jour shot)', 'Rome', 'helsinki', 'dusseldorf', 'liÃƒÂ¨ge (samarinda)']"
lastFM_539,Album: 2002 Classics,D. PIT,,,,,,[]
lastFM_541,Bass Time Continuum,B. Junkie,,,3681,,,"['Bass Time Continuum', 'R-M-T-S', 'Bass Below & Beyond', 'Listen to the Beat (V2.0)', 'A New Order of Intelligence', 'Breakers Throwdown (Final Battle mix)', 'Welcome to Futura', 'Hyper-Bass', 'Back in the Jungle', 'Return of the OVC', 'Bass Mutant (Re-Mutated)', 'A Bass Odyssey', 'Sound and Motion']"
lastFM_548,nine lives,The Underwolves,,,784,,,"['Nine Lives (Version Wildlife)', 'Nine Lives (Version My LIfe)']"
lastFM_549,Album: Don't Stop The Music,S. Dragolgo,,,2175,,,"['Action', 'Angela', 'Beatnix', 'Deep Angel', 'Dip Switch', 'Early Bird', 'Elec-Love', 'Sister', 'Good Morning']"
lastFM_561,Hears  the Future,Justice,,,1918,,,"['Two thousand moments', ""Wack MC's"", 'Cycle II', 'Beat drop', 'Faith & Reason', 'Monk rock', 'Suburbs']"
lastFM_567,Beyond The,DJ Slugo,,,,,,[]
lastFM_568,The Congo Natty EP,C. Natty,,,,,,[]
lastFM_573,Butterfly / Rendezvous,Tilt,,,,,,[]
lastFM_575,Blackout,L. Louis,,,,,,[]
lastFM_576,Brothers,Ronny Jordan,,,2104,,,"['The Jackal (The Illest Mix)', 'S**t Goes Down (But I Got Phunked Up Mix)', 'Love I Never Had It So Good', ""So What! (Tuff 'N' Smooth Mix)"", 'Season For Change (Dawn Of The Season Mix)', 'Bad Brother (How Ya Like My Wheel Mix)']"
lastFM_579,The Garbage Man 1,T. Garbage Man,,,,,,[]
lastFM_582,Face The Future,Richi M,,,3802,,,"['Face the future', '- Ancient Sumeria', '- Face The Future', 'Face The Future (Boiler Remix)', '- Get Kinky', 'Face The Future (Filterheadz Remix)', '- Live in a Dream', '- Progressive', ""- Lily's Back"", '- United Colours', '- Inside of me 1.0', '- Sons of Heaven']"
lastFM_604,Future Platform,M.I.K.E.,,,867,,,"['Elements of Life', 'The Running Night']"
lastFM_612,Addvibe -  Brothers,Addvibe,,,,,,[]
lastFM_622,Sirconical -  Make The Music With Your Mouse,Sirconical,,,675,,,"['Pear', 'Choppy', 'Cottonopolis']"
lastFM_626,Beyond and Back,Paranoid A.,,,1112,,,"['Beyond and Back (dirty) (feat. Cage, Masai Bey, Space)', 'Beyond And Back (Instrumental)', 'Last House on the Left (dirty) (feat. Cage, Masai Bey, Space)', 'Last House on the Left (clean) (feat. Cage, Masai Bey, Space)', 'Last House On The Left (Instrumental)']"
lastFM_629,Imsoniak: I'll Be Your Nightmare,The Grooveman,,,1966,,,"[""Imsoniak: I'll Be Your Nightmare (vocal mix)"", ""Imsoniak: I'll Be Your Nightmare (Pumping mix)"", ""Imsoniak: I'll Be Your Nightmare (Industrial Mix)"", ""Imsoniak: I'll Be Your Nightmare (Innercity mix)"", ""Imsoniak: I'll Be Your Nightmare (Symphony mix)""]"
lastFM_633,Another,Colours,,,0,,,['Wally Lopez Weekend Remk']
lastFM_637,God Bless The Conspiracy,Sandoz,,,4077,,,"['Lights In The Sky', 'Demonology', 'Louisiana', 'Levels', 'Blow (This Mother Up)', 'The Moon Rises']"
lastFM_643,Digitonal -  23 Things Fall Apart,Digitonal,,,2993,,,"['Come and Play', 'Seraphim', 'Over Line', 'Black Box', 'Break Beat Phase', 'Drencrom', 'Carcause']"
lastFM_647,Broken,Doormouse,,,2971,,,"['Peter B. Beautiful', 'Handslum', 'flatter platter play boy batter', 'Puddy Tairs', 'God Hates to Ball', ""Russell's Never Ending Rack"", 'Full Frontal Face Fire', 'Up In The Sky (Remix)', 'No Fool', 'Warleg', 'Gangster of Buh', 'Finger High', 'Infectisound', 'Bacon']"
lastFM_650,Copper Blue EP,T. Rip-Off Artist,,,315,,,['Mercury... is that a metal?']
