id,name,website,country,industry,assets,revenue
http://www.forbes.com/companies/banco-santander/,Banco Santander,http://www.forbes.com/companies/banco-santander/,Spain,Diversified Banks,1537300000000,52500000000
http://www.forbes.com/companies/bhp-billiton/,BHP Billiton,http://www.forbes.com/companies/bhp-billiton/,Australia,Diversified Metals & Mining,151000000000,67700000000
http://www.forbes.com/companies/pfizer/,Pfizer,http://www.forbes.com/companies/pfizer/,United States of America,Pharmaceuticals,172100000000,52700000000
http://www.forbes.com/companies/itau-unibanco-holding/,Itaú Unibanco Holding,http://www.forbes.com/companies/itau-unibanco-holding/,Brazil,Diversified Banks,435400000000,67200000000
http://www.forbes.com/companies/ford-motor/,Ford Motor,http://www.forbes.com/companies/ford-motor/,United States of America,Automobile Manufacturers,202000000000,146900000000
http://www.forbes.com/companies/bmw-group/,BMW Group,http://www.forbes.com/companies/bmw-group/,,Automobile Manufacturers,190700000000,101000000000
http://www.forbes.com/companies/commonwealth-bank/,Commonwealth Bank,http://www.forbes.com/companies/commonwealth-bank/,Australia,Diversified Banks,699900000000,41500000000
http://www.forbes.com/companies/edf/,EDF,http://www.forbes.com/companies/edf/,France,Electric Utilities,353900000000,100400000000
http://www.forbes.com/companies/statoil/,Statoil,http://www.forbes.com/companies/statoil/,Norway,Integrated Oil & Gas,146000000000,105200000000
http://www.forbes.com/companies/google/,Google,http://www.forbes.com/companies/google/,United States of America,IT Consulting & Other Services,110900000000,59700000000
http://www.forbes.com/companies/siemens/,Siemens,http://www.forbes.com/companies/siemens/,,Industrial Conglomerates,140100000000,99700000000
http://www.forbes.com/companies/novartis/,Novartis,http://www.forbes.com/companies/novartis/,Switzerland,Pharmaceuticals,126300000000,57900000000
http://www.forbes.com/companies/royal-bank-of-canada/,Royal Bank of Canada,http://www.forbes.com/companies/royal-bank-of-canada/,Canada,Diversified Banks,811400000000,37800000000
http://www.forbes.com/companies/sumitomo-mitsui-financial/,Sumitomo Mitsui Financial,http://www.forbes.com/companies/sumitomo-mitsui-financial/,Japan,Diversified Banks,1494700000000,46200000000
http://www.forbes.com/companies/comcast/,Comcast,http://www.forbes.com/companies/comcast/,United States of America,Broadcasting,158800000000,64700000000
http://www.forbes.com/companies/sberbank/,Sberbank,http://www.forbes.com/companies/sberbank/,Russian Federation,Regional Banks,554200000000,56500000000
http://www.forbes.com/companies/goldman-sachs-group/,Goldman Sachs Group,http://www.forbes.com/companies/goldman-sachs-group/,United States of America,Investment Banking & Brokerage,911500000000,39500000000
http://www.forbes.com/companies/westpac-banking/,Westpac Banking Group,http://www.forbes.com/companies/westpac-banking/,Australia,Diversified Banks,651400000000,38400000000
http://www.forbes.com/companies/nippon-tel-tel/,Nippon Telegraph & Tel,http://www.forbes.com/companies/nippon-tel-tel/,Japan,Integrated Telecommunication Services,189300000000,110700000000
http://www.forbes.com/companies/ping-an-insurance/,Ping An Insurance Group,http://www.forbes.com/companies/ping-an-insurance/,China,Multi-line Insurance,552800000000,59000000000
http://www.forbes.com/companies/banco-bradesco/,Banco Bradesco,http://www.forbes.com/companies/banco-bradesco/,Brazil,Regional Banks,384900000000,74100000000
http://www.forbes.com/companies/anheuser-busch-inbev/,Anheuser-Busch InBev,http://www.forbes.com/companies/anheuser-busch-inbev/,Belgium,Beverages,141700000000,43200000000
http://www.forbes.com/companies/bank-of-communications/,Bank of Communications,http://www.forbes.com/companies/bank-of-communications/,China,Diversified Banks,942200000000,46600000000
http://www.forbes.com/companies/china-life-insurance/,China Life Insurance,http://www.forbes.com/companies/china-life-insurance/,China,Life & Health Insurance,327200000000,68400000000
http://www.forbes.com/companies/general-motors/,General Motors,http://www.forbes.com/companies/general-motors/,United States of America,Automobile Manufacturers,166300000000,155400000000
http://www.forbes.com/companies/telefonica/,Telefónica,http://www.forbes.com/companies/telefonica/,Spain,Integrated Telecommunication Services,163800000000,75800000000
http://www.forbes.com/companies/metlife/,MetLife,http://www.forbes.com/companies/metlife/,United States of America,Multi-line Insurance,885300000000,71000000000
http://www.forbes.com/companies/honda-motor/,Honda Motor,http://www.forbes.com/companies/honda-motor/,Japan,Automobile Manufacturers,147900000000,117700000000
http://www.forbes.com/companies/enel/,Enel,http://www.forbes.com/companies/enel/,Italy,Electric Utilities,226200000000,106300000000
http://www.forbes.com/companies/basf/,BASF,http://www.forbes.com/companies/basf/,,Diversified Chemicals,88700000000,98200000000
http://www.forbes.com/companies/softbank/,Softbank,http://www.forbes.com/companies/softbank/,Japan,Integrated Telecommunication Services,156600000000,55600000000
http://www.forbes.com/companies/national-australia-bank/,National Australia Bank,http://www.forbes.com/companies/national-australia-bank/,Australia,Diversified Banks,755900000000,36900000000
http://www.forbes.com/companies/anz/,ANZ,http://www.forbes.com/companies/anz/,Australia,Diversified Banks,659700000000,34000000000
http://www.forbes.com/companies/td-bank-group/,TD Bank Group,http://www.forbes.com/companies/td-bank-group/,Canada,Diversified Banks,815200000000,31300000000
http://www.forbes.com/companies/conocophillips/,ConocoPhillips,http://www.forbes.com/companies/conocophillips/,United States of America,Integrated Oil & Gas,118100000000,55600000000
http://www.forbes.com/companies/intel/,Intel,http://www.forbes.com/companies/intel/,United States of America,Semiconductors,92400000000,52700000000
http://www.forbes.com/companies/ubs/,UBS,http://www.forbes.com/companies/ubs/,Switzerland,Investment Banking & Brokerage,1135500000000,39700000000
http://www.forbes.com/companies/hewlett-packard/,Hewlett-Packard,http://www.forbes.com/companies/hewlett-packard/,United States of America,Technology Hardware Storage & Peripherals,105000000000,112100000000
http://www.forbes.com/companies/coca-cola/,Coca-Cola,http://www.forbes.com/companies/coca-cola/,United States of America,Beverages,91300000000,46300000000
http://www.forbes.com/companies/cisco-systems/,Cisco Systems,http://www.forbes.com/companies/cisco-systems/,United States of America,Communications Equipment,98400000000,47900000000
