left,right,original_size,original_positives,original_negatives,iterations,candidates_generated,final_size,final_positives,final_negatives,total_new_labels
dbpedia,forbes,100,34,66,"[{'iteration': 1, 'top_matchers': ['MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher'], 'disagreements': 5000, 'new_labels': 100, 'total_size': 300, 'total_positives': np.int64(47), 'total_negatives': np.int64(253), 'random_sample': 100}, {'iteration': 2, 'top_matchers': ['MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher'], 'disagreements': 5000, 'new_labels': 100, 'total_size': 558, 'total_positives': np.int64(67), 'total_negatives': np.int64(491), 'random_sample': 158}, {'iteration': 3, 'top_matchers': ['MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher'], 'disagreements': 5000, 'new_labels': 100, 'total_size': 658, 'total_positives': np.int64(72), 'total_negatives': np.int64(586)}, {'iteration': 4, 'top_matchers': ['MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher'], 'disagreements': 5000, 'new_labels': 100, 'total_size': 758, 'total_positives': np.int64(79), 'total_negatives': np.int64(679)}, {'iteration': 5, 'top_matchers': ['MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher'], 'disagreements': 5000, 'new_labels': 100, 'total_size': 858, 'total_positives': np.int64(82), 'total_negatives': np.int64(776)}, {'iteration': 6, 'top_matchers': ['MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher'], 'disagreements': 5000, 'new_labels': 100, 'total_size': 958, 'total_positives': np.int64(84), 'total_negatives': np.int64(874)}, {'iteration': 7, 'top_matchers': ['MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher'], 'disagreements': 5000, 'new_labels': 100, 'total_size': 1058, 'total_positives': np.int64(87), 'total_negatives': np.int64(971)}, {'iteration': 8, 'top_matchers': ['MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher'], 'disagreements': 5000, 'new_labels': 100, 'total_size': 1158, 'total_positives': np.int64(92), 'total_negatives': np.int64(1066)}, {'iteration': 9, 'top_matchers': ['MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher'], 'disagreements': 5000, 'new_labels': 100, 'total_size': 1258, 'total_positives': np.int64(100), 'total_negatives': np.int64(1158)}, {'iteration': 10, 'top_matchers': ['MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher'], 'disagreements': 5000, 'new_labels': 100, 'total_size': 1358, 'total_positives': np.int64(109), 'total_negatives': np.int64(1249)}, {'iteration': 11, 'top_matchers': ['MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher'], 'disagreements': 5000, 'new_labels': 100, 'total_size': 1458, 'total_positives': np.int64(117), 'total_negatives': np.int64(1341)}, {'iteration': 12, 'top_matchers': ['MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher'], 'disagreements': 5000, 'new_labels': 100, 'total_size': 1558, 'total_positives': np.int64(125), 'total_negatives': np.int64(1433)}, {'iteration': 13, 'top_matchers': ['MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher'], 'disagreements': 5000, 'new_labels': 100, 'total_size': 1658, 'total_positives': np.int64(132), 'total_negatives': np.int64(1526)}, {'iteration': 14, 'top_matchers': ['MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher'], 'disagreements': 5000, 'new_labels': 100, 'total_size': 1758, 'total_positives': np.int64(137), 'total_negatives': np.int64(1621)}, {'iteration': 15, 'top_matchers': ['MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher'], 'disagreements': 5000, 'new_labels': 100, 'total_size': 1858, 'total_positives': np.int64(147), 'total_negatives': np.int64(1711)}, {'iteration': 16, 'top_matchers': ['MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher'], 'disagreements': 5000, 'new_labels': 100, 'total_size': 1958, 'total_positives': np.int64(157), 'total_negatives': np.int64(1801)}, {'iteration': 17, 'top_matchers': ['MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher'], 'disagreements': 5000, 'new_labels': 100, 'total_size': 2058, 'total_positives': np.int64(165), 'total_negatives': np.int64(1893)}, {'iteration': 18, 'top_matchers': ['MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher'], 'disagreements': 5000, 'new_labels': 100, 'total_size': 2158, 'total_positives': np.int64(171), 'total_negatives': np.int64(1987)}, {'iteration': 19, 'top_matchers': ['MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher'], 'disagreements': 5000, 'new_labels': 100, 'total_size': 2258, 'total_positives': np.int64(184), 'total_negatives': np.int64(2074)}, {'iteration': 20, 'top_matchers': ['MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher'], 'disagreements': 5000, 'new_labels': 100, 'total_size': 2358, 'total_positives': np.int64(188), 'total_negatives': np.int64(2170)}, {'iteration': 21, 'top_matchers': ['MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher'], 'disagreements': 5000, 'new_labels': 100, 'total_size': 2458, 'total_positives': np.int64(194), 'total_negatives': np.int64(2264)}, {'iteration': 22, 'top_matchers': ['MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher'], 'disagreements': 5000, 'new_labels': 100, 'total_size': 2558, 'total_positives': np.int64(201), 'total_negatives': np.int64(2357)}]",5000,2558,201,2357,2458
dbpedia,fullcontact,100,34,66,"[{'iteration': 1, 'top_matchers': ['MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher'], 'disagreements': 5000, 'new_labels': 25, 'total_size': 150, 'total_positives': np.int64(39), 'total_negatives': np.int64(111), 'random_sample': 25}, {'iteration': 2, 'top_matchers': ['MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher'], 'disagreements': 5000, 'new_labels': 25, 'total_size': 200, 'total_positives': np.int64(42), 'total_negatives': np.int64(158), 'random_sample': 25}, {'iteration': 3, 'top_matchers': ['MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher', 'MLBasedMatcher'], 'disagreements': 5000, 'new_labels': 0}]",5000,200,42,158,100
