id1,id2,score
discogs_941,mbrainz_307,0.8486532475944789
discogs_76049,mbrainz_15790,0.3555782501738439
discogs_130502,mbrainz_16181,0.820409987291063
discogs_36671,mbrainz_8147,0.8332371155300091
discogs_51416,mbrainz_11264,0.9857577937538983
discogs_8610,mbrainz_1879,0.857769798911519
discogs_51414,mbrainz_11263,0.9857577937538983
discogs_14877,mbrainz_3445,0.8041925087549892
discogs_56400,mbrainz_12301,0.858793247071638
discogs_77509,mbrainz_16001,0.9687498965299535
discogs_37627,mbrainz_8359,0.9891255977673626
discogs_5522,mbrainz_1166,0.7871973718159062
discogs_4467,mbrainz_957,0.6934858224913688
discogs_11105,mbrainz_2542,0.9852905612415479
discogs_14278,mbrainz_2195,0.9422995942742112
discogs_9698,mbrainz_2195,0.9837471997561901
discogs_27676,mbrainz_6312,0.9867238678101876
discogs_10509,mbrainz_33460,0.7706697527866114
discogs_16205,mbrainz_3782,0.9854423447731354
discogs_24523,mbrainz_5630,0.9887417587496105
discogs_36293,mbrainz_8079,0.9911280507535274
discogs_4591,mbrainz_973,0.7781461082806852
discogs_34725,mbrainz_7735,0.8681703278432854
discogs_87767,mbrainz_14983,0.9767781103765473
discogs_17352,mbrainz_4054,0.990496539455792
discogs_5860,mbrainz_1241,0.6636985967992235
discogs_16370,mbrainz_3825,0.9836815626256019
discogs_49928,mbrainz_10951,0.98532982217562
discogs_54817,mbrainz_11968,0.9530487507177107
discogs_19909,mbrainz_4662,0.9830975914197092
discogs_57010,mbrainz_12422,0.9846286714663857
discogs_64681,mbrainz_13925,0.9736644045245628
discogs_88040,mbrainz_5043,0.833729473872309
discogs_42799,mbrainz_9521,0.8495414880918676
discogs_45541,mbrainz_10107,0.9907420489655039
discogs_21640,mbrainz_5038,0.9892156478094405
discogs_10629,mbrainz_2432,0.9846167626014217
discogs_107792,mbrainz_16360,0.9897088303625216
discogs_81466,mbrainz_16360,0.9897088303625216
discogs_138,mbrainz_62,0.9464038805063527
discogs_27681,mbrainz_6314,0.9885496148291261
discogs_43684,mbrainz_9706,0.9670737398630052
discogs_63685,mbrainz_13255,0.9865464032146365
discogs_27016,mbrainz_6179,0.986248449213032
discogs_55433,mbrainz_12085,0.8144694496662408
discogs_29841,mbrainz_6780,0.9850800627814859
discogs_17493,mbrainz_4090,0.9876493357684497
discogs_24831,mbrainz_5701,0.9813532339864394
discogs_14064,mbrainz_3241,0.8615048971240081
discogs_61988,mbrainz_13427,0.9748584057264086
discogs_23533,mbrainz_5434,0.9828614724371632
discogs_28006,mbrainz_6390,0.9477503610268048
discogs_38232,mbrainz_8502,0.9151508718742516
discogs_7942,mbrainz_1655,0.93578981063083
discogs_42029,mbrainz_9373,0.9903706738243033
discogs_46486,mbrainz_10293,0.9899204605817469
discogs_57160,mbrainz_7490,0.9285744914618111
discogs_189743,mbrainz_32425,0.9687233198894342
discogs_71149,mbrainz_15071,0.9702822506111111
discogs_40761,mbrainz_9069,0.9844566951260854
discogs_37577,mbrainz_8346,0.8269756976187425
discogs_24776,mbrainz_5688,0.873280548980674
discogs_9243,mbrainz_2052,0.9755930739251062
discogs_33982,mbrainz_7874,0.9847036329409327
discogs_172956,mbrainz_29728,0.8066205278428753
discogs_18298,mbrainz_4279,0.892822580266094
discogs_108529,mbrainz_19628,0.8576852029533083
discogs_151643,mbrainz_25416,0.9908173630962088
discogs_146684,mbrainz_25416,0.9908173630962088
discogs_174537,mbrainz_10944,0.9691297228836371
discogs_61057,mbrainz_10944,0.9862562324686627
discogs_3141,mbrainz_691,0.8500864865520128
discogs_41778,mbrainz_9310,0.9921563483875375
discogs_72163,mbrainz_15263,0.9866882878572932
discogs_133944,mbrainz_17891,0.7894539768815486
discogs_70343,mbrainz_14922,0.9872640004672152
discogs_150642,mbrainz_26107,0.9258547389709474
discogs_14928,mbrainz_1103,0.9870226055756078
discogs_71795,mbrainz_15458,0.9930010591110028
discogs_140988,mbrainz_24467,0.9878100974352195
discogs_99,mbrainz_39,0.9831722817719579
discogs_92114,mbrainz_17729,0.9894741833508125
discogs_141868,mbrainz_2636,0.87257663786326
discogs_11529,mbrainz_2636,0.9230346705344885
discogs_2200,mbrainz_532,0.9855613237369858
