variant,model,train_total,train_positives,train_negatives,f1,precision,recall,tokens_used
faiss_small,rf,100,34,66,0.9636015325670498,0.971042471042471,0.9562737642585551,0
faiss_small,logreg,100,34,66,0.9587727708533078,0.9671179883945842,0.9505703422053232,0
faiss_small,gb,100,34,66,0.932527693856999,0.9914346895074947,0.8802281368821293,0
faiss_small,hist_gb,100,34,66,0.9056994818652849,0.9954441913439636,0.8307984790874525,0
faiss_small,xgb,100,34,66,0.9056994818652849,0.9954441913439636,0.8307984790874525,0
faiss_large,xgb,600,200,400,0.9726672950047125,0.9644859813084112,0.9809885931558935,0
faiss_large,hist_gb,600,200,400,0.9687795648060549,0.9642184557438794,0.973384030418251,0
faiss_large,rf,600,200,400,0.9671361502347418,0.9554730983302412,0.9790874524714829,0
faiss_large,logreg,600,200,400,0.9600000000000001,0.9618320610687023,0.9581749049429658,0
faiss_large,gb,600,200,400,0.9595484477892756,0.9497206703910615,0.9695817490494296,0
active,rf,950,531,419,0.9715909090909091,0.9679245283018868,0.9752851711026616,0
active,gb,950,531,419,0.9648622981956316,0.9639468690702088,0.9657794676806084,0
active,xgb,950,531,419,0.961904761904762,0.9637404580152672,0.9600760456273765,0
active,hist_gb,950,531,419,0.9491850431447748,0.9574468085106383,0.94106463878327,0
active,logreg,950,531,419,0.896551724137931,0.9304703476482618,0.8650190114068441,0
faiss_small_plus_random,rf,120,34,86,0.9673704414587332,0.9767441860465116,0.9581749049429658,0
faiss_small_plus_random,logreg,120,34,86,0.9603097773475314,0.9783037475345168,0.9429657794676806,0
faiss_small_plus_random,gb,120,34,86,0.931174089068826,0.9956709956709957,0.8745247148288974,0
faiss_small_plus_random,hist_gb,120,34,86,0.9056994818652849,0.9954441913439636,0.8307984790874525,0
faiss_small_plus_random,xgb,120,34,86,0.9056994818652849,0.9954441913439636,0.8307984790874525,0
faiss_large_plus_random,rf,720,200,520,0.9680451127819548,0.9572490706319703,0.9790874524714829,0
faiss_large_plus_random,xgb,720,200,520,0.9680451127819548,0.9572490706319703,0.9790874524714829,0
faiss_large_plus_random,hist_gb,720,200,520,0.9669499527856469,0.9606003752345216,0.973384030418251,0
faiss_large_plus_random,logreg,720,200,520,0.9647283126787417,0.9674952198852772,0.9619771863117871,0
faiss_large_plus_random,gb,720,200,520,0.961904761904762,0.9637404580152672,0.9600760456273765,0
active_plus_random,rf,865,375,490,0.9772296015180264,0.9753787878787878,0.9790874524714829,0
active_plus_random,gb,865,375,490,0.9638783269961977,0.9638783269961977,0.9638783269961977,0
active_plus_random,xgb,865,375,490,0.9600760456273765,0.9600760456273765,0.9600760456273765,0
active_plus_random,hist_gb,865,375,490,0.9506641366223908,0.9488636363636364,0.9524714828897338,0
active_plus_random,logreg,865,375,490,0.9229323308270677,0.912639405204461,0.9334600760456274,0
provided_faiss_small,rf,100,34,66,0.9643888354186717,0.9766081871345029,0.9524714828897338,0
provided_faiss_small,hist_gb,100,34,66,0.9538171536286522,0.9457943925233645,0.9619771863117871,0
provided_faiss_small,xgb,100,34,66,0.9494163424124515,0.9721115537848606,0.9277566539923955,0
provided_faiss_small,gb,100,34,66,0.941738299904489,0.946257197696737,0.9372623574144486,0
provided_faiss_small,logreg,100,34,66,0.9323447636700648,0.9095840867992767,0.9562737642585551,0
provided_faiss_large,rf,600,200,400,0.9637209302325581,0.9435336976320583,0.9847908745247148,0
provided_faiss_large,logreg,600,200,400,0.9626168224299065,0.9466911764705882,0.9790874524714829,0
provided_faiss_large,xgb,600,200,400,0.9611829944547134,0.935251798561151,0.9885931558935361,0
provided_faiss_large,hist_gb,600,200,400,0.9609665427509294,0.94,0.9828897338403042,0
provided_faiss_large,gb,600,200,400,0.9562790697674419,0.936247723132969,0.9771863117870723,0
provided_active,logreg,950,531,419,0.9671977507029053,0.9537892791127541,0.9809885931558935,0
provided_active,rf,950,531,419,0.9645522388059702,0.9468864468864469,0.9828897338403042,0
provided_active,xgb,950,531,419,0.9620018535681186,0.9385171790235082,0.9866920152091255,0
provided_active,hist_gb,950,531,419,0.9534246575342467,0.9173989455184535,0.9923954372623575,0
provided_active,gb,950,531,419,0.94967978042086,0.9153439153439153,0.9866920152091255,0
provided_faiss_small_plus_random,rf,120,34,86,0.9602272727272728,0.9566037735849057,0.9638783269961977,0
provided_faiss_small_plus_random,hist_gb,120,34,86,0.9577464788732394,0.9461966604823747,0.9695817490494296,0
provided_faiss_small_plus_random,xgb,120,34,86,0.9494163424124515,0.9721115537848606,0.9277566539923955,0
provided_faiss_small_plus_random,logreg,120,34,86,0.9437148217636023,0.9314814814814815,0.9562737642585551,0
provided_faiss_small_plus_random,gb,120,34,86,0.9408396946564886,0.9444444444444444,0.9372623574144486,0
provided_faiss_large_plus_random,rf,720,200,520,0.9716446124763706,0.9661654135338346,0.9771863117870723,0
provided_faiss_large_plus_random,logreg,720,200,520,0.9671977507029053,0.9537892791127541,0.9809885931558935,0
provided_faiss_large_plus_random,xgb,720,200,520,0.9597000937207123,0.9463955637707948,0.973384030418251,0
provided_faiss_large_plus_random,hist_gb,720,200,520,0.958217270194986,0.9364791288566243,0.9809885931558935,0
provided_faiss_large_plus_random,gb,720,200,520,0.9577981651376147,0.925531914893617,0.9923954372623575,0
provided_active_plus_random,logreg,865,375,490,0.9661654135338347,0.9553903345724907,0.9771863117870723,0
