Rating Code,Rating Name,Minimum Age,Rating Description
E,Everyone,All ages,Content is generally suitable for all ages. May contain minimal cartoon fantasy or mild violence and or infrequent use of mild language.
E10+,Everyone 10+,10+,Content is generally suitable for ages 10 and up. May contain more cartoon fantasy or mild violence mild language and or minimal suggestive themes.
T,Teen,13+,Content is generally suitable for ages 13 and up. May contain violence suggestive themes crude humor minimal blood simulated gambling and or infrequent use of strong language.
M,Mature 17+,17+,Content is generally suitable for ages 17 and up. May contain intense violence blood and gore sexual content and or strong language.
AO,Adults Only 18+,18+,Content suitable only for adults ages 18 and up. May include prolonged scenes of intense violence graphic sexual content and or gambling with real currency.
RP,Rating Pending,N/A,Not yet assigned a final ESRB rating. Appears only in advertising marketing and promotional materials for a physical boxed game expected to carry an ESRB rating.
RP-LM17,Rating Pending - Likely Mature 17+,N/A,Not yet assigned a final ESRB rating but anticipated to be rated Mature 17+. Appears only in advertising marketing and promotional materials for a physical boxed game expected to carry an ESRB rating.
